date,open,high,low,close,adjusted_close,volume,symbol
2010-10-18,20.52,20.64,20.22,20.2299,1.3487,2440938,TSLA.US
2010-10-19,20.1999,20.406,20.0001,20.0499,1.3367,3676909,TSLA.US
2010-10-20,20.16,20.6901,20.04,20.6499,1.3767,4686665,TSLA.US
2010-10-21,20.61,20.9499,20.4501,20.7501,1.3833,6269991,TSLA.US
2010-10-22,20.6799,20.9301,20.55,20.7201,1.3813,2415317,TSLA.US
2010-10-25,20.94,20.9799,20.73,20.85,1.39,1779212,TSLA.US
2010-10-26,20.7999,21.87,20.5101,21.36,1.424,9912625,TSLA.US
2010-10-27,21.2499,21.3801,20.6499,21.0,1.4,5347505,TSLA.US
2010-10-28,21.39,21.5001,20.9601,21.1899,1.4127,3362853,TSLA.US
2010-10-29,21.1401,21.8499,21.0519,21.84,1.456,4210234,TSLA.US
2010-11-01,21.9399,22.7499,21.3099,21.4101,1.4273,6836767,TSLA.US
2010-11-02,21.6801,21.8793,21.0501,21.2499,1.4167,4836980,TSLA.US
2010-11-03,21.2799,22.5,21.1599,21.7701,1.4513,5612991,TSLA.US
2010-11-04,22.5999,25.3299,22.1511,24.9,1.66,28122044,TSLA.US
2010-11-05,24.87,24.9699,23.7201,24.4401,1.6293,15164206,TSLA.US
2010-11-08,24.5001,24.9999,24.03,24.9801,1.6653,7642133,TSLA.US
2010-11-09,24.9999,25.6899,24.0501,24.63,1.642,14366250,TSLA.US
2010-11-10,24.48,29.97,24.0501,29.3601,1.9573,45915617,TSLA.US
2010-11-11,28.5999,29.1,27.33,28.035,1.869,29176440,TSLA.US
2010-11-12,28.2501,30.5001,28.0701,29.8401,1.9893,40937577,TSLA.US
2010-11-15,30.2199,32.9394,30.2199,30.8001,2.0533,39377035,TSLA.US
2010-11-16,30.9999,31.4001,28.4199,29.67,1.978,20215986,TSLA.US
2010-11-17,30.2001,30.75,28.6101,29.49,1.966,11255128,TSLA.US
2010-11-18,30.6699,30.7401,28.92,29.8899,1.9927,14343735,TSLA.US
2010-11-19,30.1599,31.3701,29.7,30.99,2.066,17257428,TSLA.US
